"id","title","dates","description","value"
"1","Public Holiday","2021-10-20T00:00:00.000Z","","1"
"2","Public Holiday","2022-02-28T00:00:00.000Z","","1"
"3","Public Holiday","2022-03-03T00:00:00.000Z","","1"
"4","Public Holiday","2022-04-15T00:00:00.000Z","","1"
"5","Public Holiday","2022-04-29T00:00:00.000Z","","1"
"6","Public Holiday","2022-05-02T00:00:00.000Z","","1"
"7","Public Holiday","2022-05-03T00:00:00.000Z","","1"
"8","Public Holiday","2022-05-04T00:00:00.000Z","","1"
"9","Public Holiday","2022-05-05T00:00:00.000Z","","1"
"10","Public Holiday","2022-05-06T00:00:00.000Z","","1"
"11","Public Holiday","2022-05-16T00:00:00.000Z","","1"
"12","Public Holiday","2022-08-17T00:00:00.000Z","","1"
"13","Public Holiday","2022-12-26T00:00:00.000Z","","1"
"14","Public Holiday","2023-01-23T00:00:00.000Z","","1"
"15","Public Holiday","2023-03-22T00:00:00.000Z","","1"
"16","Public Holiday","2023-04-07T00:00:00.000Z","","1"
"17","Public Holiday","2023-04-19T00:00:00.000Z","","1"
"18","Public Holiday","2023-04-20T00:00:00.000Z","","1"
"19","Public Holiday","2023-04-21T00:00:00.000Z","","1"
"20","Public Holiday","2023-04-24T00:00:00.000Z","","1"
"21","Public Holiday","2023-04-25T00:00:00.000Z","","1"
"22","Public Holiday","2023-05-01T00:00:00.000Z","","1"
"23","Public Holiday","2023-05-18T00:00:00.000Z","","1"
"24","Pancasila's Day","2023-06-01T00:00:00.000Z","","1"
"25","Public Holiday","2023-06-29T00:00:00.000Z","","1"
"26","Public Holiday","2023-09-28T00:00:00.000Z","","1"
"29","Public Holiday","2024-04-10T00:00:00.000Z","Hari Raya Idul Fitri","1"
"30","Public Holiday","2024-04-11T00:00:00.000Z","Hari Raya Idul Fitri","1"
"31","Public Holiday","2024-05-01T00:00:00.000Z","Hari Buruh 1 May 2024","1"
"32","Public Holiday","2024-05-09T00:00:00.000Z","Kenaikan Isa Almasih 9 May 2024","1"
"34","Public Holiday","2024-05-23T00:00:00.000Z","Waisak 23 May 2024","1"
"35","Public Holiday","2024-03-11T00:00:00.000Z","Hari Suci Nyepi 11 March 2024","1"
"36","Public Holiday","2024-03-29T00:00:00.000Z","Wafat Isa Al Masih 29 March 2024","1"
"37","Public Holiday","2023-12-25T00:00:00.000Z","Hari Natal 2024","1"
"38","Public Holiday","2024-01-01T00:00:00.000Z","Tahun Baru 2024 Masehi","1"
"39","Public Holiday","2024-02-08T00:00:00.000Z","Isra Mi'raj Nabi Muhammad SAW 2024","1"
"40","Public Holiday","2024-02-14T00:00:00.000Z","Pemilu Presiden 2024","0.5"
"41","Public Holiday","2024-06-17T00:00:00.000Z","idul adha 2024","1"
"42","Public Holiday","2023-08-17T00:00:00.000Z","17 agustus 2023","1"
"44","Public Holiday","2024-01-02T00:00:00.000Z","Office Holiday","1"
"45","Public Holiday","2023-12-26T00:00:00.000Z","Office Holiday","1"
"46","Public Holiday","2023-12-27T00:00:00.000Z","Office Holiday","1"
"61","Public Holiday","2024-07-07T00:00:00.000Z","Tahun Baru Islam 1446 H","1"
"62","Public Holiday","2024-08-17T00:00:00.000Z","Independence Day","1"
"63","Public Holiday","2024-09-16T00:00:00.000Z","Birthday of Prophet Muhammad","1"
"64","Public Holiday","2024-12-25T00:00:00.000Z","Christmas Day","1"
"65","Public Holiday","2024-11-27T00:00:00.000Z","Pilkada 2024","1"
"66","Public Holiday","2025-01-01T00:00:00.000Z","New Year's Day","1"
"67","Public Holiday","2025-01-02T00:00:00.000Z","Company Day Off","1"
"68","Public Holiday","2025-01-27T00:00:00.000Z","Isra Mi'raj 2025","1"
"69","Public Holiday","2025-01-29T00:00:00.000Z","Chinese New Year 2025","1"
"70","Public Holiday","2025-03-29T00:00:00.000Z","Bali Hindu New Year","1"
"71","Public Holiday","2025-03-31T00:00:00.000Z","Hari Raya Idul Fitri","1"
"72","Public Holiday","2025-04-01T00:00:00.000Z","Lebaran Holiday","1"
"77","Public Holiday","2025-04-18T00:00:00.000Z","Good Friday","1"
"78","Public Holiday","2025-04-20T00:00:00.000Z","Easter Sunday","1"
"79","Public Holiday","2025-05-01T00:00:00.000Z","Labour Day","1"
"80","Public Holiday","2025-05-12T00:00:00.000Z","Waisak Day","1"
"81","Public Holiday","2025-05-29T00:00:00.000Z","Ascension Day of Jesus Christ","1"
"82","Public Holiday","2025-05-30T00:00:00.000Z","Ascension Day of Jesus Christ Holiday","1"
"83","Public Holiday","2025-06-01T00:00:00.000Z","Pancasila Day","1"
"84","Public Holiday","2025-06-06T00:00:00.000Z","Idul Adha","1"
"85","Public Holiday","2025-06-27T00:00:00.000Z","Islamic New Year","1"
"86","Public Holiday","2025-08-17T00:00:00.000Z","Independence Day","1"
"87","Public Holiday","2025-09-05T00:00:00.000Z","Prophet Muhammad's Birthday","1"
"88","Public Holiday","2025-12-25T00:00:00.000Z","Christmas Day","1"
