"id","title","leave_id","employee_id","dates","description"
"1","Annual Leave","1","7","2019-05-31T00:00:00.000Z",""
"2","Annual Leave","1","7","2019-06-03T00:00:00.000Z",""
"3","Annual Leave","1","7","2019-06-04T00:00:00.000Z",""
"4","Annual Leave","1","7","2019-06-07T00:00:00.000Z",""
"5","Sick Leave","6","9","2019-10-14T00:00:00.000Z",""
"6","Sick Leave","6","9","2019-10-15T00:00:00.000Z",""
"7","Sick Leave","6","9","2019-10-16T00:00:00.000Z",""
"8","Sick Leave","6","9","2019-10-17T00:00:00.000Z",""
"9","Sick Leave","6","9","2019-10-18T00:00:00.000Z",""
"10","Annual Leave","1","8","2019-12-23T00:00:00.000Z",""
"11","Annual Leave","1","7","2019-12-23T00:00:00.000Z",""
"12","Annual Leave","1","9","2019-12-23T00:00:00.000Z",""
"13","Half-Day Off","2","9","2020-01-10T00:00:00.000Z",""
"14","Sick Leave","6","9","2020-02-11T00:00:00.000Z",""
"15","Sick Leave","6","9","2020-02-12T00:00:00.000Z",""
"16","Sick Leave","6","9","2020-02-13T00:00:00.000Z",""
"17","Sick Leave","6","9","2020-02-14T00:00:00.000Z",""
"18","Annual Leave","1","10","2020-02-28T00:00:00.000Z",""
"19","Annual Leave","1","10","2020-03-02T00:00:00.000Z",""
"20","Annual Leave","1","10","2020-03-16T00:00:00.000Z",""
"21","Sick Leave","6","8","2020-04-29T00:00:00.000Z",""
"22","Special Leave","7","10","2020-07-20T00:00:00.000Z",""
"23","Special Leave","7","10","2020-07-21T00:00:00.000Z",""
"24","Special Leave","7","10","2020-07-22T00:00:00.000Z",""
"25","Special Leave","7","10","2020-07-23T00:00:00.000Z",""
"26","Special Leave","7","10","2020-07-24T00:00:00.000Z",""
"27","Annual Leave","1","9","2020-07-30T00:00:00.000Z",""
"28","Annual Leave","1","10","2020-08-27T00:00:00.000Z",""
"29","Annual Leave","1","10","2020-08-28T00:00:00.000Z",""
"30","Annual Leave","1","9","2020-10-22T00:00:00.000Z",""
"31","Annual Leave","1","9","2020-10-23T00:00:00.000Z",""
"32","Annual Leave","1","10","2020-10-26T00:00:00.000Z",""
"33","Annual Leave","1","7","2020-10-28T00:00:00.000Z",""
"34","Annual Leave","1","7","2020-10-29T00:00:00.000Z",""
"35","Sick Leave","6","8","2020-11-19T00:00:00.000Z",""
"36","Annual Leave","1","10","2020-12-21T00:00:00.000Z",""
"37","Annual Leave","1","8","2020-12-21T00:00:00.000Z",""
"38","Annual Leave","1","7","2020-12-21T00:00:00.000Z",""
"39","Annual Leave","1","11","2020-12-21T00:00:00.000Z",""
"40","Annual Leave","1","9","2020-12-21T00:00:00.000Z",""
"41","Annual Leave","1","10","2020-12-22T00:00:00.000Z",""
"42","Annual Leave","1","8","2020-12-22T00:00:00.000Z",""
"43","Annual Leave","1","7","2020-12-22T00:00:00.000Z",""
"44","Annual Leave","1","11","2020-12-22T00:00:00.000Z",""
"45","Annual Leave","1","9","2020-12-22T00:00:00.000Z",""
"46","Annual Leave","1","10","2020-12-23T00:00:00.000Z",""
"47","Annual Leave","1","8","2020-12-23T00:00:00.000Z",""
"48","Annual Leave","1","7","2020-12-23T00:00:00.000Z",""
"49","Annual Leave","1","11","2020-12-23T00:00:00.000Z",""
"50","Annual Leave","1","9","2020-12-23T00:00:00.000Z",""
"51","Annual Leave","1","11","2021-01-04T00:00:00.000Z",""
"52","Annual Leave","1","11","2021-01-05T00:00:00.000Z",""
"53","Annual Leave","1","11","2021-01-06T00:00:00.000Z",""
"54","Annual Leave","1","11","2021-01-07T00:00:00.000Z",""
"55","Annual Leave","1","11","2021-01-08T00:00:00.000Z",""
"56","Annual Leave","1","11","2021-01-11T00:00:00.000Z",""
"57","Annual Leave","1","11","2021-01-12T00:00:00.000Z",""
"58","Annual Leave","1","11","2021-01-13T00:00:00.000Z",""
"59","Annual Leave","1","11","2021-01-14T00:00:00.000Z",""
"60","Annual Leave","1","11","2021-01-15T00:00:00.000Z",""
"61","Annual Leave","1","8","2021-01-25T00:00:00.000Z",""
"62","Annual Leave","1","9","2021-01-25T00:00:00.000Z",""
"63","Annual Leave","1","10","2021-02-01T00:00:00.000Z",""
"64","Sick Leave","6","9","2021-02-17T00:00:00.000Z",""
"65","Annual Leave","1","2","2021-02-25T00:00:00.000Z",""
"66","Annual Leave","1","2","2021-03-25T00:00:00.000Z",""
"67","Annual Leave","1","10","2021-03-29T00:00:00.000Z",""
"68","Annual Leave","1","10","2021-03-30T00:00:00.000Z",""
"69","Annual Leave","1","7","2021-04-05T00:00:00.000Z",""
"70","Annual Leave","1","8","2021-04-08T00:00:00.000Z",""
"71","Annual Leave","1","8","2021-04-09T00:00:00.000Z",""
"72","Annual Leave","1","9","2021-04-09T00:00:00.000Z",""
"73","Annual Leave","1","8","2021-05-05T00:00:00.000Z",""
"74","Annual Leave","1","9","2021-06-03T00:00:00.000Z",""
"75","Annual Leave","1","9","2021-06-04T00:00:00.000Z",""
"76","Annual Leave","1","9","2021-06-07T00:00:00.000Z",""
"77","Annual Leave","1","9","2021-07-26T00:00:00.000Z",""
"78","Annual Leave","1","9","2021-07-27T00:00:00.000Z",""
"79","Annual Leave","1","8","2021-08-20T00:00:00.000Z",""
"80","Annual Leave","1","7","2021-09-27T00:00:00.000Z",""
"81","Annual Leave","1","10","2021-09-28T00:00:00.000Z",""
"82","Annual Leave","1","10","2021-09-29T00:00:00.000Z",""
"83","Annual Leave","1","9","2021-09-29T00:00:00.000Z",""
"84","Annual Leave","1","9","2021-09-30T00:00:00.000Z",""
"85","Annual Leave","1","9","2021-10-01T00:00:00.000Z",""
"86","Annual Leave","1","7","2021-10-04T00:00:00.000Z",""
"87","Annual Leave","1","11","2021-10-13T00:00:00.000Z",""
"88","Annual Leave","1","11","2021-10-14T00:00:00.000Z",""
"89","Public Holiday","0","0","2021-10-20T00:00:00.000Z",""
"90","Annual Leave","1","7","2021-10-25T00:00:00.000Z",""
"91","Annual Leave","1","7","2021-10-26T00:00:00.000Z",""
"92","Annual Leave","1","10","2021-11-11T00:00:00.000Z",""
"93","Annual Leave","1","10","2021-11-12T00:00:00.000Z",""
"94","Annual Leave","1","10","2021-11-15T00:00:00.000Z",""
"95","Annual Leave","1","10","2021-11-16T00:00:00.000Z",""
"96","Sick Leave","6","10","2021-12-06T00:00:00.000Z",""
"97","Sick Leave","6","10","2021-12-07T00:00:00.000Z",""
"98","Annual Leave","1","8","2021-12-07T00:00:00.000Z",""
"99","Annual Leave","1","8","2021-12-08T00:00:00.000Z",""
"100","Annual Leave","1","9","2021-12-08T00:00:00.000Z",""
"101","Annual Leave","1","8","2021-12-09T00:00:00.000Z",""
"102","Annual Leave","1","9","2021-12-09T00:00:00.000Z",""
"103","Annual Leave","1","8","2021-12-10T00:00:00.000Z",""
"104","Annual Leave","1","9","2021-12-10T00:00:00.000Z",""
"105","Annual Leave","1","10","2021-12-30T00:00:00.000Z",""
"106","Annual Leave","1","7","2021-12-30T00:00:00.000Z",""
"107","Annual Leave","1","10","2021-12-31T00:00:00.000Z",""
"108","Annual Leave","1","7","2021-12-31T00:00:00.000Z",""
"109","Annual Leave","1","10","2022-01-03T00:00:00.000Z",""
"110","Annual Leave","1","8","2022-01-03T00:00:00.000Z",""
"111","Annual Leave","1","7","2022-01-03T00:00:00.000Z",""
"112","Annual Leave","1","2","2022-01-03T00:00:00.000Z",""
"113","Annual Leave","1","9","2022-01-03T00:00:00.000Z",""
"114","Annual Leave","1","10","2022-01-04T00:00:00.000Z",""
"115","Annual Leave","1","8","2022-01-04T00:00:00.000Z",""
"116","Annual Leave","1","9","2022-01-04T00:00:00.000Z",""
"117","Annual Leave","1","8","2022-01-05T00:00:00.000Z",""
"118","Annual Leave","1","2","2022-01-05T00:00:00.000Z",""
"119","Annual Leave","1","9","2022-01-05T00:00:00.000Z",""
"120","Annual Leave","1","8","2022-01-06T00:00:00.000Z",""
"121","Annual Leave","1","11","2022-01-06T00:00:00.000Z",""
"122","Annual Leave","1","9","2022-01-06T00:00:00.000Z",""
"123","Annual Leave","1","8","2022-01-07T00:00:00.000Z",""
"124","Annual Leave","1","11","2022-01-07T00:00:00.000Z",""
"125","Annual Leave","1","9","2022-01-07T00:00:00.000Z",""
"126","Sick Leave","6","10","2022-01-10T00:00:00.000Z",""
"127","Annual Leave","1","7","2022-01-14T00:00:00.000Z",""
"128","Annual Leave","1","11","2022-01-17T00:00:00.000Z",""
"129","Public Holiday Replacement","5","7","2022-02-04T00:00:00.000Z",""
"130","Public Holiday Replacement","5","11","2022-02-11T00:00:00.000Z",""
"131","Public Holiday Replacement","5","10","2022-02-14T00:00:00.000Z",""
"132","Sick Leave","6","12","2022-02-16T00:00:00.000Z",""
"133","Sick Leave","6","3","2022-02-17T00:00:00.000Z",""
"134","Sick Leave","6","12","2022-02-17T00:00:00.000Z",""
"135","Annual Leave","1","2","2022-02-17T00:00:00.000Z",""
"136","Public Holiday Replacement","5","8","2022-02-18T00:00:00.000Z",""
"137","Sick Leave","6","12","2022-02-18T00:00:00.000Z",""
"138","Annual Leave","1","2","2022-02-18T00:00:00.000Z",""
