"id","title","description","created_at"
"6","A1 - Single Storey","TMA","2023-07-04T17:54:43.000Z"
"9","B1 - Residential Non-Standard / Architectural Single Storey","TMA","2023-07-04T17:54:43.000Z"
"11","B2 - Non-Standard / Architectural Double Storey","TMA","2023-07-04T17:54:43.000Z"
"12","B5 - Renovation Single Storey","TMA","2023-07-04T17:54:43.000Z"
"14","B6 - Renovation Double Storey","TMA","2023-07-04T17:54:43.000Z"
"15","C1 - Industrial (Simple) 1 Building","TMA","2023-07-04T17:54:43.000Z"
"17","C2 - Industrial (Complex) 1 Building","TMA","2023-07-04T17:54:43.000Z"
"19","D1 - Commercial Apartments 2-3 Storeys","TMA","2023-07-04T17:54:43.000Z"
"20","D2 - Commercial (Warehouse, Showroom, and Office)","TMA","2023-07-04T17:54:43.000Z"
"23","D3 - Commercial (Apartments)","TMA","2023-07-04T17:54:43.000Z"
"24","E - Uncategorized Building / Project","TMA","2023-07-04T17:54:43.000Z"
"29","Commercial","SPDR","2023-07-04T17:54:43.000Z"
"33","Double Storey up to 11 fixtures","SPDR","2023-07-04T17:54:43.000Z"
"41","Extension House","SPDR","2023-07-04T17:54:43.000Z"
"46","Multi dwelling 2 units","SPDR","2023-07-04T17:54:43.000Z"
"55","Single Storey up to 11 fixtures","SPDR","2023-07-04T17:54:43.000Z"
"63","Triple Storey up to 11 fixtures","SPDR","2023-07-04T17:54:43.000Z"
"64","Warehouse","SPDR","2023-07-04T17:54:43.000Z"
"66","A2 - Double Storey","TMA","2023-07-07T09:29:23.000Z"
"67","B3 - Residential Multidwelling","TMA","2023-07-07T09:29:31.000Z"
"68","B4 - Multi-Dwelling Residential Mixed-Level","TMA","2023-07-07T09:29:37.000Z"
"69","C3 - Industrial Multi Units","TMA","2023-07-07T09:29:49.000Z"
"70","D4 - Qty Report Only","TMA","2024-08-01T07:42:32.000Z"
"71","D5 - Commercial (Childcare)","TMA","2024-08-01T07:42:43.000Z"
"72","D6 - Commercial (School)","TMA","2024-08-01T07:42:48.000Z"
"73","Commercial RAF SQM","TMA","2024-08-01T07:42:55.000Z"
"74","E1 - Power Substation / Power Terminals","TMA","2024-08-01T07:43:01.000Z"
"75","Multidwelling 2 Units","SPDR","2024-11-19T06:28:06.000Z"
"76","Multidwelling 3-5 Units","SPDR","2024-11-19T06:28:06.000Z"
"77","Multidwelling >10 Units","SPDR","2024-11-19T06:28:06.000Z"
"78","Others or Non Dwelling Task","for non dwelling tasks","2025-01-30T09:15:08.000Z"
"79","Project up to 5 type","SPDR","2025-04-15T03:20:08.000Z"
"80","Project up to 10 type","SPDR","2025-04-15T03:20:13.000Z"
"81","Multi dwelling 3-5 units","SPDR","2025-04-15T03:20:18.000Z"
"82","Multi dwelling up to 10 units","SPDR","2025-04-15T03:20:23.000Z"
"83","Single Storey up to 18 fixtures","SPDR","2025-04-15T03:20:28.000Z"
"84","Double Storey up to 18 fixtures","SPDR","2025-04-15T03:20:32.000Z"
"85","Single Storey up to 25 fixtures","SPDR","2025-04-15T04:58:05.000Z"
"86","Double Storey up to 25 fixtures","SPDR","2025-04-15T04:58:12.000Z"
"87","Triple Storey up to 18 fixtures","SPDR","2025-04-16T08:48:09.000Z"
"88","Triple Storey up to 25 fixtures","SPDR","2025-04-16T08:48:18.000Z"
"89","Project >10 types","SPDR","2025-05-21T05:03:15.000Z"
